hwnd=0x20540 vis=0 class=MSCTFIME UI                              pid= 11204(Docker Desktop.exe  ) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x504b8 vis=0 class=MSCTFIME UI                              pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x8016a vis=0 class=MSCTFIME UI                              pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x400dc vis=0 class=MSCTFIME UI                              pid= 10812(ApplicationFrameHost.exe) rect=[0,0 0x0] title="MSCTFIME UI"
hwnd=0x3033c vis=0 class=MSRDCSessionManager_WSL                  pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0x303a4 vis=0 class=MSRDCSysTrayClass_WSL                    pid= 16704(msrdc.exe           ) rect=[0,0 136x39] title=""
hwnd=0x1020a vis=0 class=MS_WebcheckMonitor                       pid=  8008(explorer.exe        ) rect=[26,26 480x303] title="MS_WebcheckMonitor"
hwnd=0x201f6 vis=0 class=MiracastConnectionWindow                 pid=  8008(explorer.exe        ) rect=[0,0 136x39] title="MiracastConnectionWindow"
hwnd=0x104a2 vis=0 class=OleDdeWndClass                           pid=  7836(WindowsTerminal.exe ) rect=[0,0 0x0] title="DDE Server Window"
hwnd=0x402ce vis=0 class=OllamaClass                              pid=  1288(ollama app.exe      ) rect=[26,26 480x303] title=""
hwnd=0x190646 vis=0 class=OperationStatusWindow                    pid=  8008(explorer.exe        ) rect=[161,426 463x294] title="100% complete"
hwnd=0x30290 vis=0 class=PersonalizationThemeChangeListener       pid= 10808(SystemSettings.exe  ) rect=[78,78 480x303] title=""
hwnd=0x10158 vis=0 class=Postures Broadcast Listener Class        pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x10106 vis=1 class=Progman                                  pid=  8008(explorer.exe        ) rect=[0,0 640x480] title="Program Manager"
hwnd=0x10498 vis=1 class=PseudoConsoleWindow                      pid=  5212(powershell.exe      ) rect=[0,0 0x0] title=""
hwnd=0xb05c4 vis=1 class=PseudoConsoleWindow                      pid=  1888(cmd.exe             ) rect=[0,0 0x0] title=""
hwnd=0xe05c2 vis=1 class=PseudoConsoleWindow                      pid=  4768(cmd.exe             ) rect=[0,0 0x0] title=""
hwnd=0x10088 vis=0 class=PushNotificationsPowerManagement         pid=  7232(svchost.exe         ) rect=[0,0 0x0] title="Windows Push Notifications Platform"
